playId,gameId,run_type
80,2022090800,qb_scramble
146,2022090800,power
896,2022090800,outside_zone
1385,2022090800,hb_sweep
2072,2022090800,power
2360,2022090800,inside_zone
2464,2022090800,qb_scramble
2485,2022090800,outside_zone
2506,2022090800,outside_zone
2712,2022090800,zone_read
2839,2022090800,rb_screen
3304,2022090800,counter
78,2022091100,hb_sweep
301,2022091100,inside_zone
741,2022091100,inside_zone
807,2022091100,inside_zone
870,2022091100,outside_zone
1046,2022091100,inside_zone
1067,2022091100,read_option
1260,2022091100,outside_zone
2048,2022091100,inside_zone
2114,2022091100,power
2183,2022091100,inside_zone
2332,2022091100,inside_zone
2353,2022091100,inside_zone
2640,2022091100,read_option
2683,2022091100,qb_scramble
2720,2022091100,outside_zone
3334,2022091100,hb_sweep
3926,2022091100,read_option
158,2022091101,inside_zone
213,2022091101,counter
251,2022091101,hb_sweep
521,2022091101,hb_sweep
620,2022091101,inside_zone
641,2022091101,inside_zone
993,2022091101,power
2051,2022091101,inside_zone
2365,2022091101,outside_zone
2386,2022091101,inside_zone
2478,2022091101,power
2501,2022091101,hb_toss
2909,2022091101,reverse
3357,2022091101,inside_zone
3378,2022091101,inside_zone
145,2022091102,jet_sweep
698,2022091102,inside_zone
1029,2022091102,inside_zone
1162,2022091102,inside_zone
1363,2022091102,hb_toss
1588,2022091102,inside_zone
1869,2022091102,inside_zone
1907,2022091102,qb_scramble
2238,2022091102,outside_zone
2281,2022091102,hb_toss
2415,2022091102,inside_zone
2837,2022091102,qb_scramble
3315,2022091102,qb_draw
3449,2022091102,qb_scramble
4019,2022091102,inside_zone
274,2022091103,inside_zone
319,2022091103,hb_toss
764,2022091103,power
1016,2022091103,qb_scramble
1105,2022091103,jet_sweep
1315,2022091103,outside_zone
1363,2022091103,inside_zone
1589,2022091103,hb_toss
1947,2022091103,inside_zone
2037,2022091103,outside_zone
2315,2022091103,hb_toss
2719,2022091103,outside_zone
3680,2022091103,jet_sweep
844,2022091104,qb_scramble
1020,2022091104,outside_zone
1207,2022091104,power
1826,2022091104,inside_zone
1917,2022091104,inside_zone
1986,2022091104,hb_toss
2269,2022091104,read_option
2447,2022091104,counter
2641,2022091104,qb_scramble
2995,2022091104,qb_scramble
3016,2022091104,counter
3286,2022091104,outside_zone
3821,2022091104,read_option
3899,2022091104,qb_scramble
4372,2022091104,power
4410,2022091104,inside_zone
315,2022091105,qb_scramble
1236,2022091105,hb_toss
2796,2022091105,inside_zone
3503,2022091105,inside_zone
3670,2022091105,inside_zone
3812,2022091105,power
4352,2022091105,counter
338,2022091106,outside_zone
499,2022091106,hb_toss
998,2022091106,reverse
1019,2022091106,hb_toss
2584,2022091106,jet_sweep
2935,2022091106,hb_toss
3399,2022091106,counter
68,2022091107,power
254,2022091107,counter
330,2022091107,hb_toss
2340,2022091107,power
2659,2022091107,power
104,2022091108,qb_scramble
751,2022091108,counter
994,2022091108,outside_zone
1039,2022091108,inside_zone
1333,2022091108,hb_toss
1853,2022091108,outside_zone
2473,2022091108,outside_zone
2615,2022091108,inside_zone
2846,2022091108,jet_sweep
3063,2022091108,qb_scramble
3177,2022091108,inside_zone
3251,2022091108,trick_play
863,2022091109,jet_sweep
957,2022091109,inside_zone
1499,2022091109,hb_toss
2267,2022091109,inside_zone
2383,2022091109,outside_zone
2941,2022091109,inside_zone
3156,2022091109,inside_zone
