displayName,position,pred_safety_tackle_prob
Jayron Kearse,FS,0.038360637
Adrian Phillips,SS,0.03922791
Kevin Byard,FS,0.042778824
Eric Rowe,SS,0.043541841
Eric Rowe,SS,0.045541309
Jalen Thompson,FS,0.047872733
Eric Rowe,SS,0.048501767
Jaquan Brisker,SS,0.051071398
DeShon Elliott,FS,0.051309243
Darrick Forrest,SS,0.052867409
Jordan Poyer,SS,0.053124644
Jalen Thompson,FS,0.058899857
Donovan Wilson,SS,0.062237654
Malik Hooker,FS,0.063720614
Antoine Winfield,FS,0.065725118
Malik Hooker,FS,0.067666277
Tracy Walker,FS,0.067795277
Donovan Wilson,SS,0.06826406
Jalen Thompson,FS,0.069406174
Geno Stone,SS,0.069475695
Jordan Poyer,SS,0.069610611
Adrian Phillips,SS,0.077692881
Jaquan Brisker,SS,0.078891955
Eric Rowe,SS,0.079340547
Kevin Byard,FS,0.080862433
Kareem Jackson,SS,0.081198722
Juan Thornhill,FS,0.082796112
Malik Hooker,FS,0.083080344
Alohi Gilman,SS,0.083141424
Nasir Adderley,FS,0.083167858
Kamren Curl,SS,0.084750526
Rudy Ford,SS,0.084780477
Dane Belton,FS,0.086014703
Antoine Winfield,FS,0.086419709
Talanoa Hufanga,SS,0.088345461
Kevin Byard,FS,0.089189835
Keanu Neal,FS,0.089432232
Taylor Rapp,FS,0.0903024
Kamren Curl,SS,0.09095268
Adrian Amos,FS,0.091450922
DeShon Elliott,FS,0.091820046
Malik Hooker,FS,0.094097801
Justin Reid,SS,0.094333246
Jaquan Brisker,SS,0.094529726
Tracy Walker,FS,0.095213838
Kamren Curl,SS,0.096051984
Rodney Thomas,FS,0.096638195
Kevin Byard,FS,0.097399719
Jessie Bates,FS,0.098483928
Eric Rowe,SS,0.09875761
Tracy Walker,FS,0.098769918
Kevin Byard,FS,0.100394867
Camryn Bynum,FS,0.100727677
Marcus Maye,FS,0.101042636
Jayron Kearse,FS,0.101719163
Terrell Burgess,FS,0.103751421
Eric Rowe,SS,0.103889756
Mike Edwards,FS,0.104034312
Budda Baker,SS,0.104391515
Juan Thornhill,FS,0.10553287
Lamarcus Joyner,SS,0.105950974
Donovan Wilson,SS,0.106223702
Jonathan Owens,FS,0.107864365
Darnell Savage,SS,0.107877903
Jaquan Brisker,SS,0.109766148
Keanu Neal,FS,0.109919652
Kevin Byard,FS,0.110975832
Marcus Epps,SS,0.112577043
Geno Stone,SS,0.113155909
Jonathan Owens,FS,0.113230176
Kamren Curl,SS,0.114055902
Talanoa Hufanga,SS,0.114295207
Eric Rowe,SS,0.114882864
Jaquan Brisker,SS,0.116909757
Malik Hooker,FS,0.118220143
Rodney Thomas,FS,0.118373029
DeShon Elliott,FS,0.118750051
Eric Rowe,SS,0.119145535
Darnell Savage,SS,0.119465873
Nasir Adderley,FS,0.119580738
Malik Hooker,FS,0.120398082
Justin Reid,SS,0.120504536
Juan Thornhill,FS,0.12126644
Juju Hughes,FS,0.1226772
Kamren Curl,SS,0.122758806
Donovan Wilson,SS,0.124279447
Jaquan Brisker,SS,0.125308007
Keanu Neal,FS,0.125911966
Lamarcus Joyner,SS,0.126532331
Eddie Jackson,SS,0.127766296
Jayron Kearse,FS,0.128179073
Geno Stone,SS,0.12960808
Juan Thornhill,FS,0.129817978
